name,chemical_formula,species,number_of_atoms,minimal-k-points
DOYBEA,C16H12Al4O20,"{'C', 'H', 'O', 'Al'}",52,"(2, 1, 1)"
ORIVUI,C24H6Ni6O18,"{'C', 'Ni', 'H', 'O'}",54,"(2, 1, 1)"
ORIVOC,C24H6O18Zn6,"{'Zn', 'H', 'O', 'C'}",54,"(2, 1, 1)"
VOGTIV,C24H6Mg6O18,"{'C', 'H', 'Mg', 'O'}",54,"(2, 1, 1)"
FUNBOG,C44H24Br2N4O8Zn2,"{'O', 'Br', 'N', 'Zn', 'C', 'H'}",84,"(1, 1, 1)"
VEBHUG,C48H12O26S12Zn8,"{'O', 'Zn', 'C', 'S', 'H'}",106,"(1, 1, 1)"
SAHYIK,C48H24O26Zn8,"{'Zn', 'H', 'O', 'C'}",106,"(1, 1, 1)"
OLEYAH,C48H12O36Zn12,"{'Zn', 'H', 'O', 'C'}",108,"(1, 1, 1)"
RUBTAK,C48H28O32Zr6,"{'C', 'H', 'Zr', 'O'}",114,"(1, 1, 1)"
KAXQIL,C56H32Ca4O24S4,"{'O', 'S', 'C', 'Ca', 'H'}",120,"(2, 1, 1)"
GEBPEK,C60H36O26Zn8,"{'Zn', 'H', 'O', 'C'}",130,"(1, 1, 1)"
XUPSAE,C64H32Al8O40,"{'C', 'H', 'O', 'Al'}",144,"(1, 1, 1)"
UPOZAB,C72H24Cl8N36O12Zn10,"{'Cl', 'O', 'N', 'Zn', 'C', 'H'}",162,"(1, 1, 1)"
HUHZAO,C98H61Al3O16,"{'C', 'H', 'O', 'Al'}",178,"(1, 1, 1)"
UTEWOG,C120H72N48Ni12,"{'N', 'C', 'Ni', 'H'}",252,"(1, 1, 1)"
VEJYUF,C96H96N64Zn16,"{'N', 'Zn', 'C', 'H'}",272,"(1, 1, 1)"
VELVOY,C96H120N48Zn12,"{'N', 'Zn', 'C', 'H'}",276,"(1, 1, 1)"
BOHWIG,C116H96O64Zr12,"{'C', 'H', 'Zr', 'O'}",288,"(1, 1, 1)"
