,energy [kcal/mol],expansion_coeff,name,method,volume,Bulk modulus [GPa]
0,-408240.41863701,0.96,DOYBEA,DFT,850.7651327967632,79.80680075910342
1,-408409.1877370267,1.0,DOYBEA,DFT,961.6033847559102,79.80680075910342
2,-408233.4967312366,1.08,DOYBEA,DFT,1211.3433315729926,79.80680075910342
3,-408063.08789263817,0.94,DOYBEA,DFT,798.6923880596124,79.80680075910342
4,-407467.28850968985,0.9,DOYBEA,DFT,701.0088782008131,79.80680075910342
5,-408118.75738112844,1.1,DOYBEA,DFT,1279.8941124748965,79.80680075910342
6,-408325.0618260058,1.06,DOYBEA,DFT,1145.2850323332461,79.80680075910342
7,-407809.51517143054,0.92,DOYBEA,DFT,748.7890230401501,79.80680075910342
8,-408388.6631747129,1.04,DOYBEA,DFT,1081.6730403996232,79.80680075910342
9,-408352.5342165071,0.98,DOYBEA,DFT,905.0534167891651,79.80680075910342
10,-408418.8053542282,1.02,DOYBEA,DFT,1020.4612110530322,79.80680075910342
11,-1020884.1476196108,0.96,ORIVUI,DFT,1238.6582934951184,0.0
12,-1017903.8608718134,1.0,ORIVUI,DFT,1400.0315181686055,0.0
13,-1015256.6478079027,1.08,ORIVUI,DFT,1763.6365082204456,0.0
14,-1021527.0929365159,0.94,ORIVUI,DFT,1162.8437795973457,0.0
15,-1021792.707666969,0.9,ORIVUI,DFT,1020.6229843023339,0.0
16,-1003428.8207572537,1.1,ORIVUI,DFT,1863.4419638708534,0.0
17,-1022068.7562945607,1.06,ORIVUI,DFT,1667.459947964511,0.0
18,-1022050.2390878078,0.92,ORIVUI,DFT,1090.187748728096,0.0
19,-1022181.2724572442,1.04,ORIVUI,DFT,1574.8450665180144,0.0
20,-1021677.0462858995,0.98,ORIVUI,DFT,1317.6984773695074,0.0
21,-999898.7974697987,1.02,ORIVUI,DFT,1485.7246621143909,0.0
22,-1245181.6531844377,0.96,ORIVOC,DFT,1199.042385323612,67.39139599310369
23,-1245298.4768102106,1.0,ORIVOC,DFT,1355.2544254141328,67.39139599310369
24,-1244991.129107918,1.08,ORIVOC,DFT,1707.2302646051687,67.39139599310369
25,-1245022.7389221448,0.94,ORIVOC,DFT,1125.6526474934144,67.39139599310369
26,-1244442.497267213,0.9,ORIVOC,DFT,987.9804856403612,67.39139599310369
27,-1244841.898865873,1.1,ORIVOC,DFT,1803.843643753007,67.39139599310369
28,-1245117.0895029767,1.06,ORIVOC,DFT,1614.12970776746,67.39139599310369
29,-1244780.5737416865,0.92,ORIVOC,DFT,1055.3203603555908,67.39139599310369
30,-1245214.5094708195,1.04,ORIVOC,DFT,1524.4769201516303,67.39139599310369
31,-1245269.8007593844,0.98,ORIVOC,DFT,1275.5546269344347,67.39139599310369
32,-1245277.316988739,1.02,ORIVOC,DFT,1438.2068486694284,67.39139599310369
33,-612619.7604572178,0.96,VOGTIV,DFT,1199.8991004133914,66.14972402169862
34,-612729.3702472867,1.0,VOGTIV,DFT,1356.2227532284464,66.14972402169862
35,-612417.7119945576,1.08,VOGTIV,DFT,1708.4500766929912,66.14972402169862
36,-612469.6508517143,0.94,VOGTIV,DFT,1126.4569200138726,66.14972402169862
37,-611922.3393849487,0.9,VOGTIV,DFT,988.6863931494736,66.14972402169862
38,-612267.6811979618,1.1,VOGTIV,DFT,1805.1324802793424,66.14972402169862
39,-612544.3789965953,1.06,VOGTIV,DFT,1615.2829997383901,66.14972402169862
40,-612241.3983394112,0.92,VOGTIV,DFT,1056.0743834404548,66.14972402169862
41,-612642.6089849686,1.04,VOGTIV,DFT,1525.566151871875,66.14972402169862
42,-612703.2230531345,0.98,VOGTIV,DFT,1276.4660073642042,66.14972402169862
43,-612706.5512720919,1.02,VOGTIV,DFT,1439.234435549782,66.14972402169862
44,-712078.3229142494,0.96,FUNBOG,DFT,2522.218199357596,38.49754879099508
45,-712580.1897380387,1.0,FUNBOG,DFT,2850.814477277786,38.49754879099508
46,-712668.9751700325,1.08,FUNBOG,DFT,3591.2052058986424,38.49754879099508
