,energy [kcal/mol],expansion_coeff,name,method,volume
0,-102778.33159399,0.98,ORIVUI,xTB,1316.9959902903515
1,-174010.11243832274,1.02,RUBTAK,xTB,2418.051183870219
2,-150859.4123515099,1.10,SAHYIK,xTB,5881.401341674846
3,-151149.95934220107,1.08,SAHYIK,xTB,5566.395076576938
4,-90104.97873183303,1.04,ORIVOC,xTB,1524.469833453816
5,-384259.20585862885,0.90,BOHWIG,xTB,4497.242037221198
6,-172128.78754404245,1.06,GEBPEK,xTB,8272.367244011371
7,-197770.251823604,1.08,HUHZAO,xTB,11766.578148500173
8,-295387.2316158092,1.06,VEJYUF,xTB,5103.543701020692
9,-88175.74770719497,1.02,DOYBEA,xTB,1071.319040076322
10,-294113.08434811357,1.10,VEJYUF,xTB,5703.379858925944
11,-219630.2918184076,0.90,XUPSAE,xTB,1927.5899709144744
12,-386629.23206042644,0.94,BOHWIG,xTB,5123.919451636943
13,-175149.50002193093,0.92,VEBHUG,xTB,4976.740055174477
14,-310438.6627640013,1.04,UTEWOG,xTB,7189.015579190855
15,-221520.3845415368,1.04,XUPSAE,xTB,2974.3162757787914
16,-173029.55267857437,1.10,RUBTAK,xTB,3032.7948203662822
17,-154175.98602249447,1.06,HAFTOZ,xTB,5535.299628688648
18,-200790.70667035156,0.98,HUHZAO,xTB,8791.381856125192
19,-153906.18865631,1.08,HAFTOZ,xTB,5854.56733230673
20,-179345.94621977382,1.10,OLEYAH,xTB,3365.5930863766057
21,-103703.07291466578,1.06,FUNBOG,xTB,3395.4524412494716
22,-173638.07317107235,1.06,RUBTAK,xTB,2713.829568575032
23,-154634.25551629855,1.00,HAFTOZ,xTB,4647.544305608529
24,-102001.0930328235,1.10,ORIVUI,xTB,1862.4485366178822
25,,0.96,BOHWIG,xTB,
26,-151737.6817322644,1.02,SAHYIK,xTB,4689.248801649947
27,-175281.55171887384,1.06,VEBHUG,xTB,7612.005108019751
28,,1.10,UPOZAB,xTB,
29,-170938.82963359362,0.90,GEBPEK,xTB,5063.3708706552125
30,-150701.07219316013,0.90,SAHYIK,xTB,3221.293447093135
31,-268924.43364310596,0.92,VELVOY,xTB,3840.7586139407763
32,-90017.04244345817,1.06,VOGTIV,xTB,1615.2779196241438
33,-237472.93199826928,1.00,UPOZAB,xTB,7630.861748671161
34,-310778.3469934653,1.02,UTEWOG,xTB,6782.189531145071
35,-103415.85588614951,0.92,FUNBOG,xTB,2219.9517643521735
36,-310555.2985976791,0.96,UTEWOG,xTB,5654.3554487218025
37,-89869.34269078924,1.08,VOGTIV,xTB,1708.4447049288751
38,-296178.34341610136,1.02,VEJYUF,xTB,4547.3120460789505
39,-87892.87166109744,0.92,DOYBEA,xTB,786.1072293828832
40,-180451.75042118484,1.00,OLEYAH,xTB,2528.6198996067665
41,-296002.4537917072,0.96,VEJYUF,xTB,3791.1235784122487
42,-221237.23824042594,1.06,XUPSAE,xTB,3149.2325058966717
43,-166652.05857630298,0.94,KAXQIL,xTB,1109.6867781249887
44,-102753.06531606946,0.96,ORIVUI,xTB,1237.9979477784811
45,-90062.93051628469,0.94,VOGTIV,xTB,1126.4533772788106
46,-199461.18639476897,0.92,HUHZAO,xTB,7273.4825144948245
47,-269712.046222529,1.06,VELVOY,xTB,5874.502960545545
48,,1.04,UPOZAB,xTB,
49,-153850.24869043555,0.92,HAFTOZ,xTB,3618.9869802456947
50,-180045.15340537162,0.94,OLEYAH,xTB,2100.2312306949866
51,-175796.35436649557,1.00,VEBHUG,xTB,6391.186271233763
52,-220505.74404562166,0.92,XUPSAE,xTB,2058.972811071948
53,-90005.12958660885,0.94,ORIVOC,xTB,1125.6474135090145
54,-237342.4819023841,1.02,UPOZAB,xTB,8097.931534583826
55,,1.06,UPOZAB,xTB,
56,-270271.86559903936,0.96,VELVOY,xTB,4363.82403872091
57,-90143.01590793008,0.96,ORIVOC,xTB,1199.0368102904843
58,-151727.4443169415,0.96,SAHYIK,xTB,3909.4571731239944
59,-154251.7571390701,0.94,HAFTOZ,xTB,3860.1759395295544
60,-200492.47003119095,1.04,HUHZAO,xTB,10507.004904640506
61,-179618.25000077212,0.92,OLEYAH,xTB,1969.0059723849943
